stop_name,stop_lat,stop_lon
VCC-Clark Station @ Platform 2,49.265799,-123.079054
VCC-Clark Station @ Platform 1,49.265873,-123.079049
Vancouver City Centre Station @ Platform 2,49.282462,-123.118283
Vancouver City Centre Station @ Platform 1,49.282352,-123.118143
Yaletown-Roundhouse Station @ Platform 2,49.274467,-123.122124
Yaletown-Roundhouse Station @ Platform 1,49.274508,-123.122015
Olympic Village Station @ Platform 2,49.266616,-123.115218
Olympic Village Station @ Platform 1,49.266557,-123.115527
Broadway-City Hall Station @ Platform 2,49.262684,-123.114856
Broadway-City Hall Station @ Platform 1,49.262725,-123.114753
King Edward Station @ Platform 2,49.249186,-123.115716
King Edward Station @ Platform 1,49.249172,-123.115228
Oakridge-41st Avenue Station @ Platform 2,49.233747,-123.116422
Oakridge-41st Avenue Station @ Platform 1,49.233731,-123.116176
Langara-49th Avenue Station @ Platform 2,49.225743,-123.116752
Langara-49th Avenue Station @ Platform 1,49.225709,-123.116289
Marine Drive Station @ Platform 2,49.209661,-123.117078
Marine Drive Station @ Platform 1,49.209663,-123.116921
Bridgeport Station @ Platform 2,49.195558,-123.126076
Bridgeport Station @ Platform 1,49.195514,-123.126006
Aberdeen Station @ Platform 2,49.184,-123.136398
Aberdeen Station @ Platform 1,49.183991,-123.13622
Lansdowne Station @ Platform 2,49.174762,-123.136507
Lansdowne Station @ Platform 1,49.174766,-123.136322
Richmond-Brighouse Station @ Canada Line,49.168092,-123.136247
Richmond-Brighouse Station @ Platform 1,49.168092,-123.136174
Templeton Station @ Platform 2,49.196715,-123.146335
Templeton Station @ Platform 1,49.196655,-123.146307
Sea Island Centre Station @ Platform 2,49.193053,-123.157851
Sea Island Centre Station @ Platform 1,49.19293,-123.157884
YVR-Airport Station @ Canada Line,49.194189,-123.178251
YVR-Airport Station @ Platform 1,49.194152,-123.178254
Waterfront Station @ Platform 4,49.285139,-123.114206
Waterfront Station @ Platform 5,49.285093,-123.114139
Lougheed Town Centre Station @ Platform 3,49.248611,-122.896818
Burquitlam Station @ Platform 1,49.261421,-122.889853
Burquitlam Station @ Platform 2,49.261375,-122.889784
Moody Centre Station @ Platform 1,49.27798,-122.845609
Moody Centre Station @ Platform 2,49.277941,-122.845608
Inlet Centre Station @ Platform 1,49.277294,-122.828164
Inlet Centre Station @ Platform 2,49.277118,-122.828183
Coquitlam Central Station @ Platform 1,49.274919,-122.800551
Coquitlam Central Station @ Platform 2,49.274738,-122.800643
Lincoln Station @ Platform 1,49.280417,-122.794097
Lincoln Station @ Platform 2,49.28041,-122.793805
Lafarge Lake-Douglas Station @ Platform 1,49.285743,-122.791623
Lafarge Lake-Douglas Station @ Platform 2,49.285693,-122.791435
Capstan Station @ Platform 1,49.189131,-123.131869
Capstan Station @ Platform 2,49.189163,-123.131956
Waterfront Station @ Platform 2,49.285907,-123.111578
Burrard Station @ Platform 2,49.285634,-123.119515
Granville Station @ Platform 2,49.283136,-123.115744
Stadium-Chinatown Station @ Platform 2,49.279178,-123.109213
Main Street-Science World Station @ Platform 2,49.273099,-123.100399
Commercial-Broadway Station @ Platform 4,49.262317,-123.069179
Nanaimo Station @ Platform 2,49.248283,-123.055904
29th Avenue Station @ Platform 2,49.244236,-123.046136
Joyce-Collingwood Station @ Platform 2,49.238353,-123.031827
Patterson Station @ Platform 2,49.229712,-123.012678
Metrotown Station @ Platform 2,49.225781,-123.00394
Royal Oak Station @ Platform 2,49.220013,-122.988475
Edmonds Station @ Platform 2,49.211909,-122.959156
22nd Street Station @ Platform 2,49.200021,-122.94894
New Westminster Station @ Platform 2,49.201406,-122.912573
Columbia Station @ Platform 2,49.204778,-122.906118
Scott Road Station @ Platform 2,49.204383,-122.874171
Gateway Station @ Platform 2,49.198946,-122.850673
Surrey Central Station @ Platform 2,49.189549,-122.847914
King George Station @ Platform 2,49.182755,-122.844744
King George Station @ Platform 1,49.182812,-122.844691
Surrey Central Station @ Platform 1,49.189561,-122.847796
Gateway Station @ Platform 1,49.198955,-122.850542
Scott Road Station @ Platform 1,49.204448,-122.874185
Columbia Station @ Platform 1,49.204859,-122.906187
New Westminster Station @ Platform 1,49.201459,-122.912629
22nd Street Station @ Platform 1,49.200083,-122.948971
Edmonds Station @ Platform 1,49.211945,-122.95904
Royal Oak Station @ Platform 1,49.22011,-122.98844
Metrotown Station @ Platform 1,49.225852,-123.003876
Patterson Station @ Platform 1,49.229798,-123.012613
Joyce-Collingwood Station @ Platform 1,49.23843,-123.031759
29th Avenue Station @ Platform 1,49.24431,-123.04608
Nanaimo Station @ Platform 1,49.248334,-123.055868
Commercial-Broadway Station @ Platform 3,49.262311,-123.069077
Main Street-Science World Station @ Platform 1,49.273172,-123.10035
Stadium-Chinatown Station @ Platform 1,49.279271,-123.109109
Granville Station @ Platform 1,49.283193,-123.115674
Burrard Station @ Platform 1,49.28558,-123.119598
Waterfront Station @ Platform 1,49.285962,-123.111516
Braid Station @ Platform 1,49.233236,-122.882831
Braid Station @ Platform 2,49.233236,-122.882718
Sapperton Station @ Platform 1,49.2247,-122.889424
Sapperton Station @ Platform 2,49.224621,-122.889311
Lougheed Town Centre Station @ Platform 2,49.248549,-122.896879
Production Way-University Station @ Platform 1,49.253465,-122.918191
Sperling-Burnaby Lake Station @ Platform 1,49.259213,-122.963982
Holdom Station @ Platform 1,49.264753,-122.982149
Brentwood Town Centre Station @ Platform 1,49.266431,-123.001813
Gilmore Station @ Platform 1,49.265002,-123.013571
Rupert Station @ Platform 1,49.260815,-123.032869
Renfrew Station @ Platform 1,49.258942,-123.045374
Commercial-Broadway Station @ Platform 1,49.26298,-123.068426
Lougheed Town Centre Station @ Platform 1,49.248484,-122.896952
Production Way-University Station @ Platform 2,49.253364,-122.918218
Sperling-Burnaby Lake Station @ Platform 2,49.259154,-122.963991
Holdom Station @ Platform 2,49.264705,-122.982158
Brentwood Town Centre Station @ Platform 2,49.266352,-123.001813
Gilmore Station @ Platform 2,49.264931,-123.013498
Rupert Station @ Platform 2,49.260733,-123.032821
Renfrew Station @ Platform 2,49.258877,-123.045348
Commercial-Broadway Station @ Platform 2,49.262912,-123.068491
Lake City Way Station @ Platform 1,49.254654,-122.939183
Lake City Way Station @ Platform 2,49.254609,-122.939183
